eventID,fieldID,projectID,localityID,siteID,partnerID,continent,country,county,waterBody,verbatimLocality,decimalLatitude,decimalLongitude,recordedBy,year,month,day,eventTime,samplingProtocol,pumpType,numReps,repVol,negativeControl,remarks,conductivity,pH,temperature,siteImage
TAE-2019.05.16-MG01-A,TAE-MG01-A,TAE,MG01,A,TAFIRI,Africa,Tanzania,Morogoro Region,NA,Kingolwira National Aquaculture Centre,-6.75592,37.7547,Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,2019,5,16,13:00:00,Sterivex-0.22,Syringe 50 mL,3,60,1,"Stock reported as pure O. niloticus. Pond was high fish density. Lots of algae. Pond 1 in photo. Pond < 15 m, concrete.",NA,NA,NA,IMG_20190516_130550.jpg
TAE-2019.05.16-MG01-B,TAE-MG01-B,TAE,MG01,B,TAFIRI,Africa,Tanzania,Morogoro Region,NA,Kingolwira National Aquaculture Centre,-6.75592,37.7547,Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,2019,5,16,13:30:00,Sterivex-0.22,Syringe 50 mL,3,60,0,"Stock reported as O. niloticus from mixed sources. Pond was high fish density. Lots of algae. Pond 4 in photo. Pond < 15 m, concrete.",NA,NA,NA,IMG_20190516_130552.jpg
TAE-2019.05.16-MG01-C,TAE-MG01-C,TAE,MG01,C,TAFIRI,Africa,Tanzania,Morogoro Region,NA,Kingolwira National Aquaculture Centre,-6.75592,37.7547,Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,2019,5,16,14:00:00,Sterivex-0.22,Syringe 50 mL,3,60,0,"Catfish pond with some tilapia, reported as O. niloticus. Pond was low tilapia density, but high Clarias. Sediment. Pond 6 in photo. Pond < 15 m, concrete.",NA,NA,NA,IMG_20190516_130553.jpg
